first_name,last_name,emp_no,birth_date,from_date,to_date,title
Hilari,Morton,10095,1965-01-03,1994-03-10,9999-01-01,Senior Staff
Hilari,Morton,10095,1965-01-03,1994-03-10,9999-01-01,Staff
Ohad,Esposito,10122,1965-01-19,1998-08-06,9999-01-01,Technique Leader
Dipayan,Seghrouchni,10291,1965-01-23,1987-03-30,9999-01-01,Senior Staff
Dipayan,Seghrouchni,10291,1965-01-23,1987-03-30,9999-01-01,Staff
Takahito,Gecsei,10410,1965-01-19,1993-10-16,1996-07-21,Staff
Kokou,Iisaka,10476,1965-01-01,1987-09-20,9999-01-01,Senior Staff
Kokou,Iisaka,10476,1965-01-01,1987-09-20,9999-01-01,Staff
Make,Baba,10480,1965-01-25,1988-05-18,1989-06-03,Staff
Teunis,Noriega,10663,1965-01-09,1999-02-12,9999-01-01,Technique Leader
Teunis,Noriega,10663,1965-01-09,1993-01-23,1999-02-12,Technique Leader
Lech,Himler,10762,1965-01-19,1992-01-21,9999-01-01,Senior Staff
Lech,Himler,10762,1965-01-19,1992-01-21,9999-01-01,Staff
Juyoung,Seghrouchni,10933,1965-01-24,1993-08-02,9999-01-01,Senior Engineer
Jeanna,Riesenhuber,11015,1965-01-24,1998-03-14,2000-02-22,Senior Staff
Hideo,Daescu,11126,1965-01-08,1992-02-25,2002-04-04,Senior Staff
Hideo,Daescu,11126,1965-01-08,1992-02-25,2002-04-04,Staff
Mario,Cochrane,11157,1965-02-01,1985-03-30,1991-02-06,Engineer
Yongmao,Zwicker,11432,1965-01-15,1987-10-19,1997-09-13,Engineer
Yongmao,Zwicker,11432,1965-01-15,1987-10-19,1997-09-13,Senior Engineer
Keiichiro,Glinert,12155,1965-01-21,1993-09-16,9999-01-01,Engineer
Keiichiro,Glinert,12155,1965-01-21,1993-09-16,9999-01-01,Senior Engineer
Rasiah,Sudkamp,12408,1965-01-10,1995-04-18,9999-01-01,Senior Engineer
Morrie,Schurmann,12643,1965-01-30,1998-12-31,9999-01-01,Staff
Kazuhiko,Sidou,13499,1965-01-16,1991-09-01,9999-01-01,Technique Leader
Angus,Chelton,13957,1965-01-10,1986-04-18,1987-02-02,Senior Engineer
Denny,Tchuente,14075,1965-01-03,1991-05-30,9999-01-01,Assistant Engineer
Denny,Tchuente,14075,1965-01-03,1991-05-30,9999-01-01,Engineer
Sudhanshu,Demian,14104,1965-01-03,1994-07-23,9999-01-01,Senior Staff
Sudhanshu,Demian,14104,1965-01-03,1994-07-23,9999-01-01,Staff
Magdalena,Cannard,14127,1965-01-10,1994-04-22,9999-01-01,Engineer
Magdalena,Cannard,14127,1965-01-10,1994-04-22,9999-01-01,Senior Engineer
Caolyn,Setiz,14158,1965-01-22,1990-02-06,9999-01-01,Senior Staff
Caolyn,Setiz,14158,1965-01-22,1990-02-06,9999-01-01,Staff
Sastry,Marrevee,14476,1965-01-19,1999-09-25,9999-01-01,Engineer
Richard,Sinitsyn,14551,1965-01-18,1993-06-27,1993-09-16,Senior Staff
Nakhoon,Luga,14907,1965-01-14,1986-12-18,9999-01-01,Senior Staff
Nakhoon,Luga,14907,1965-01-14,1986-12-18,9999-01-01,Staff
Nikolaos,Kruskal,15050,1965-01-18,1990-12-17,9999-01-01,Engineer
Nikolaos,Kruskal,15050,1965-01-18,1990-12-17,9999-01-01,Senior Engineer
Bouchung,Bugrara,15058,1965-01-30,1990-06-18,9999-01-01,Senior Staff
Bouchung,Bugrara,15058,1965-01-30,1990-06-18,9999-01-01,Staff
Geoff,Soicher,15376,1965-01-10,1988-08-14,2001-03-01,Senior Staff
Geoff,Soicher,15376,1965-01-10,1988-08-14,2001-03-01,Staff
Arvin,Rabejac,15413,1965-01-17,1994-01-01,9999-01-01,Engineer
Arvin,Rabejac,15413,1965-01-17,1994-01-01,9999-01-01,Senior Engineer
Remmert,Schahn,16461,1965-01-14,1986-09-06,9999-01-01,Senior Staff
Remmert,Schahn,16461,1965-01-14,1986-09-06,9999-01-01,Staff
Gaurav,Swick,16528,1965-01-21,1996-05-07,9999-01-01,Assistant Engineer
Gaurav,Swick,16528,1965-01-21,1996-05-07,9999-01-01,Engineer
Morris,Garigliano,17013,1965-01-15,1995-05-24,9999-01-01,Senior Staff
Morris,Garigliano,17013,1965-01-15,1995-05-24,9999-01-01,Staff
Berry,DeMori,17206,1965-01-02,1992-12-27,9999-01-01,Engineer
Berry,DeMori,17206,1965-01-02,1992-12-27,9999-01-01,Senior Engineer
Yaghout,Kenevan,17369,1965-01-31,2000-09-15,9999-01-01,Engineer
Yaghout,Kenevan,17369,1965-01-31,2000-09-15,9999-01-01,Senior Engineer
Yaghout,Kenevan,17369,1965-01-31,1993-01-28,2000-09-15,Engineer
Yaghout,Kenevan,17369,1965-01-31,1993-01-28,2000-09-15,Senior Engineer
Zengping,Boreale,17447,1965-01-11,1998-12-16,9999-01-01,Staff
Teiji,Picco,17618,1965-01-12,1992-09-17,1999-11-08,Staff
Gennady,Roison,17731,1965-01-16,1989-12-06,9999-01-01,Assistant Engineer
Gennady,Roison,17731,1965-01-16,1989-12-06,9999-01-01,Engineer
Gro,Gini,17799,1965-01-28,1997-09-28,2001-07-11,Engineer
Filipp,Carrere,17970,1965-01-06,1989-01-09,9999-01-01,Technique Leader
Mabhin,Calkin,17988,1965-01-31,1989-11-30,9999-01-01,Engineer
Mabhin,Calkin,17988,1965-01-31,1989-11-30,9999-01-01,Senior Engineer
Adil,Matzke,18021,1965-01-07,1987-05-08,9999-01-01,Engineer
Adil,Matzke,18021,1965-01-07,1987-05-08,9999-01-01,Senior Engineer
Denis,Falster,18187,1965-01-08,1998-12-21,1999-06-03,Staff
Filipp,Rousseau,18424,1965-01-19,1995-06-07,9999-01-01,Engineer
Filipp,Rousseau,18424,1965-01-19,1995-06-07,9999-01-01,Senior Engineer
Stafford,Honglei,18583,1965-01-03,1998-08-16,9999-01-01,Staff
Surveyors,Crouzet,18617,1965-01-21,1989-04-24,9999-01-01,Senior Staff
Surveyors,Crouzet,18617,1965-01-21,1989-04-24,9999-01-01,Staff
Taiji,Jarecki,18810,1965-01-09,1991-06-27,9999-01-01,Engineer
Taiji,Jarecki,18810,1965-01-09,1991-06-27,9999-01-01,Senior Engineer
Elzbieta,Morris,19236,1965-01-24,1988-07-12,9999-01-01,Engineer
Elzbieta,Morris,19236,1965-01-24,1988-07-12,9999-01-01,Senior Engineer
