first_name,last_name,emp_no,title,from_date,to_date
Georgi,Facello,10001,Senior Engineer,1986-06-26,9999-01-01
Chirstian,Koblick,10004,Engineer,1986-12-01,1995-12-01
Chirstian,Koblick,10004,Senior Engineer,1995-12-01,9999-01-01
Sumant,Peac,10009,Assistant Engineer,1985-02-18,1990-02-18
Sumant,Peac,10009,Engineer,1990-02-18,1995-02-18
Sumant,Peac,10009,Senior Engineer,1995-02-18,9999-01-01
Kazuhide,Peha,10018,Engineer,1987-04-03,1995-04-03
Kazuhide,Peha,10018,Senior Engineer,1995-04-03,9999-01-01
Alain,Chappelet,10035,Engineer,1988-09-05,1996-09-05
Alain,Chappelet,10035,Senior Engineer,1996-09-05,9999-01-01
Sanjiv,Zschoche,10053,Senior Staff,1994-11-13,9999-01-01
Berhard,McFarlin,10058,Senior Staff,1988-04-25,9999-01-01
Kwee,Schusler,10066,Assistant Engineer,1986-02-26,1992-02-26
Kwee,Schusler,10066,Engineer,1992-02-26,1998-02-25
Kwee,Schusler,10066,Senior Engineer,1998-02-25,9999-01-01
Claudi,Stavenow,10067,Engineer,1987-03-04,1996-03-03
Claudi,Stavenow,10067,Senior Engineer,1996-03-03,9999-01-01
Reuven,Garigliano,10070,Technique Leader,1985-10-14,9999-01-01
Hironoby,Sidou,10072,Engineer,1989-05-21,1995-05-21
Hironoby,Sidou,10072,Senior Engineer,1995-05-21,9999-01-01
Erez,Ritzmann,10076,Senior Engineer,1996-07-15,9999-01-01
Jungsoon,Syrzycki,10088,Senior Staff,1993-09-02,9999-01-01
Jungsoon,Syrzycki,10088,Staff,1988-09-02,1993-09-02
Hironobu,Haraldson,10100,Senior Staff,1994-09-21,9999-01-01
Hironobu,Haraldson,10100,Staff,1987-09-21,1994-09-21
Akemi,Birch,10103,Engineer,1998-01-12,9999-01-01
Lunjin,Giveon,10108,Staff,1999-03-20,2001-10-20
Dayanand,Czap,10116,Senior Engineer,1994-02-27,1998-11-01
Kayoko,Valtorta,10126,Senior Staff,1991-09-08,9999-01-01
Kayoko,Valtorta,10126,Staff,1985-09-08,1991-09-08
Armond,Peir,10129,Technique Leader,1996-01-16,9999-01-01
Nishit,Casperson,10130,Senior Engineer,1988-06-21,9999-01-01
Diederik,Siprelle,10134,Engineer,1987-12-12,1994-12-12
Diederik,Siprelle,10134,Senior Engineer,1994-12-12,9999-01-01
Perry,Shimshoni,10138,Engineer,1992-03-03,2001-03-03
Perry,Shimshoni,10138,Senior Engineer,2001-03-03,9999-01-01
Xiadong,Perry,10149,Staff,1994-01-28,1996-08-27
Zhenbing,Perng,10150,Engineer,1986-11-16,1995-11-16
Zhenbing,Perng,10150,Senior Engineer,1995-11-16,9999-01-01
Jaques,Munro,10152,Engineer,1986-01-27,1987-08-03
Heekeun,Majewski,10153,Assistant Engineer,2000-01-08,9999-01-01
Nigel,Aloisi,10157,Senior Engineer,1997-12-10,9999-01-01
Hairong,Mellouli,10161,Engineer,1991-06-09,1994-01-05
Shigehito,Kropatsch,10186,Staff,1996-12-25,1997-08-16
Pranav,Furedi,10198,Engineer,1985-08-31,1993-08-31
Pranav,Furedi,10198,Senior Engineer,1993-08-31,9999-01-01
Xiaobin,Duclos,10215,Senior Staff,1991-11-23,9999-01-01
Yongmin,Roison,10217,Technique Leader,1986-05-12,1993-08-05
Leon,Trogemann,10224,Engineer,1988-01-09,1996-01-09
Leon,Trogemann,10224,Senior Engineer,1996-01-09,9999-01-01
Ulises,Takanami,10229,Engineer,1996-02-20,2000-06-30
Lein,Vendrig,10233,Senior Staff,2000-04-28,9999-01-01
Lein,Vendrig,10233,Staff,1994-04-29,2000-04-28
Basil,Ishibashi,10258,Assistant Engineer,1985-05-17,1991-05-17
Basil,Ishibashi,10258,Engineer,1991-05-17,1997-05-16
Basil,Ishibashi,10258,Senior Engineer,1997-05-16,9999-01-01
Yishai,Cannane,10272,Staff,1997-10-23,9999-01-01
Hercules,Benzmuller,10282,Assistant Engineer,1996-05-02,2001-05-02
Hercules,Benzmuller,10282,Engineer,2001-05-02,9999-01-01
Kauko,Birjandi,10283,Engineer,1988-05-25,1995-05-26
Kauko,Birjandi,10283,Senior Engineer,1995-05-26,9999-01-01
Saddek,Gopalakrishnan,10286,Staff,1994-12-24,1999-01-24
Faiza,Baer,10302,Senior Staff,1994-07-22,1999-11-09
Faiza,Baer,10302,Staff,1986-07-22,1994-07-22
Hirochika,Piancastelli,10305,Engineer,1988-10-31,1992-06-02
Masali,Czap,10326,Staff,1998-09-02,9999-01-01
Roded,Facello,10327,Engineer,1987-09-18,1993-05-22
Djelloul,Laventhal,10340,Senior Staff,1993-03-30,9999-01-01
Djelloul,Laventhal,10340,Staff,1988-03-30,1993-03-30
Pradeep,Kaminger,10347,Staff,1998-02-20,9999-01-01
Satyanarayana,Cochrane,10355,Staff,1996-01-26,9999-01-01
Vasilis,Standera,10356,Senior Staff,1995-06-26,9999-01-01
Toshiki,Muniz,10363,Assistant Engineer,1985-09-11,1993-02-12
Nakhoon,Dengi,10364,Senior Engineer,1985-11-14,9999-01-01
Anneli,Frijda,10372,Technique Leader,1985-07-30,9999-01-01
Parto,Wrigley,10387,Senior Staff,1999-01-07,9999-01-01
Parto,Wrigley,10387,Staff,1994-01-07,1999-01-07
Takahiro,Deverell,10395,Engineer,1998-08-10,2001-08-13
Sibyl,Rahier,10396,Senior Engineer,1986-01-11,9999-01-01
Volkmar,Ebeling,10402,Technique Leader,1987-01-02,9999-01-01
Prodip,Rosti,10404,Engineer,1988-08-28,1996-08-28
Prodip,Rosti,10404,Senior Engineer,1996-08-28,9999-01-01
Arunas,Luce,10426,Technique Leader,1985-07-06,9999-01-01
Martien,Improta,10429,Senior Engineer,1988-09-23,9999-01-01
Hisao,Tiemann,10432,Senior Staff,1996-08-12,9999-01-01
Hisao,Tiemann,10432,Staff,1990-08-13,1996-08-12
Volkmar,Unno,10442,Senior Staff,1999-02-12,2001-03-13
Volkmar,Unno,10442,Staff,1992-02-12,1999-02-12
Bodh,Ranta,10451,Assistant Engineer,1988-03-12,1993-03-12
Bodh,Ranta,10451,Engineer,1993-03-12,1998-03-12
Bodh,Ranta,10451,Senior Engineer,1998-03-12,9999-01-01
Tsvetan,Matzel,10453,Senior Staff,1993-04-02,9999-01-01
Tsvetan,Matzel,10453,Staff,1985-04-02,1993-04-02
Ung,Zaiane,10463,Staff,1994-02-17,9999-01-01
Jiakeng,Himler,10466,Staff,1997-08-22,2000-08-15
Amstein,Kossowski,10486,Engineer,1987-10-08,1996-10-07
